"","FCHI.Open","FCHI.High","FCHI.Low","FCHI.Close","FCHI.Volume","FCHI.Adjusted"
"237",5563.0498046875,5585.8701171875,5549.7900390625,5583.009765625,0,5583.009765625
"238",5581.52978515625,5584.10009765625,5546.2900390625,5574.35986328125,0,5574.35986328125
"239",5574.1201171875,5616.6201171875,5574.1201171875,5609.14990234375,0,5609.14990234375
"240",5594.5,5595.830078125,5535.419921875,5573.3798828125,86156600,5573.3798828125
"241",5553.7900390625,5574.56982421875,5521.8701171875,5560.669921875,0,5560.669921875
"242",5590.18994140625,5599.41015625,5545.93994140625,5546.81982421875,90861600,5546.81982421875
"243",5558.9599609375,5572.7998046875,5511.47998046875,5549.64990234375,0,5549.64990234375
"244",5528.14013671875,5532.81005859375,5466.56005859375,5507.5498046875,96872800,5507.5498046875
"245",5547.2998046875,5577.18017578125,5527.83984375,5527.83984375,0,5527.83984375
"246",5521.7900390625,5565.52001953125,5517.06005859375,5530.31005859375,0,5530.31005859375
"247",5551.4501953125,5589.759765625,5515.5,5547.68017578125,0,5547.68017578125
"248",5578.7900390625,5585.509765625,5547.58984375,5549.4599609375,0,5549.4599609375
"249",5533.77978515625,5581.9599609375,5519.169921875,5527.83984375,173234900,5527.83984375
"250",5392.5498046875,5422.10009765625,5306.580078125,5393.33984375,122849400,5393.33984375
"251",5411.14990234375,5477.8701171875,5411.14990234375,5466.85986328125,0,5466.85986328125
"252",5472.14013671875,5539.16015625,5472.02978515625,5527.58984375,59208500,5527.58984375
"253",5542.490234375,5545.7099609375,5517.009765625,5522.009765625,0,5522.009765625
"254",5562.0400390625,5601,5547.89990234375,5588.3798828125,44706900,5588.3798828125
"255",5610.1298828125,5625.52001953125,5603.740234375,5611.7900390625,0,5611.7900390625
"256",5603.72021484375,5625.60009765625,5594.10986328125,5599.41015625,35280300,5599.41015625
"257",5573.2001953125,5598.93017578125,5551.41015625,5551.41015625,0,5551.41015625
"258",5614.0400390625,5656.419921875,5567.97021484375,5588.9599609375,82741000,5588.9599609375
"259",5561.60009765625,5603.66015625,5530.47998046875,5564.60009765625,79263400,5564.60009765625
"260",5601.009765625,5648.419921875,5553.39013671875,5630.60009765625,116286300,5630.60009765625
"261",5651.0400390625,5689.27978515625,5629.490234375,5669.85009765625,91729600,5669.85009765625
"262",5711.580078125,5721.89013671875,5676.14990234375,5706.8798828125,87558400,5706.8798828125
"263",5684.66015625,5704.08984375,5629.4599609375,5662.43017578125,76382800,5662.43017578125
"264",5672.2001953125,5679.06005859375,5636.75,5650.97021484375,73935200,5650.97021484375
"265",5648.9599609375,5679.06982421875,5643.75,5662.669921875,109764000,5662.669921875
"266",5662.169921875,5690.490234375,5656.75,5681.14013671875,104615600,5681.14013671875
"267",5648.7001953125,5656.4501953125,5563.740234375,5611.68994140625,127619000,5611.68994140625
"268",5584.85009765625,5618.419921875,5584.58984375,5617.27001953125,62122300,5617.27001953125
"269",5647.75,5655.22021484375,5592.2001953125,5598.60986328125,89498100,5598.60986328125
"270",5615.41015625,5646.06005859375,5602.490234375,5628.43994140625,78552400,5628.43994140625
"271",5660.27001953125,5665.97998046875,5589.7998046875,5590.7900390625,87605000,5590.7900390625
"272",5568.8798828125,5573.7099609375,5511.43994140625,5559.56982421875,89454700,5559.56982421875
"273",5579.72998046875,5584.39990234375,5453.240234375,5472.35986328125,103153900,5472.35986328125
"274",5473.25,5555.27978515625,5471.08984375,5523.52001953125,84017800,5523.52001953125
"275",5517.52978515625,5545.4501953125,5401.43017578125,5459.6201171875,123358200,5459.6201171875
"276",5407.740234375,5525.9501953125,5379.22021484375,5510.52001953125,113180800,5510.52001953125
"277",5421.52978515625,5474.7998046875,5399.2099609375,5399.2099609375,109393800,5399.2099609375
"278",5441.43017578125,5481.669921875,5429.77978515625,5461.68017578125,75051100,5461.68017578125
"279",5510.6201171875,5574.77001953125,5509.240234375,5563.10986328125,92321700,5563.10986328125
"280",5610.58984375,5626.41015625,5554.08984375,5563.0498046875,81321400,5563.0498046875
"281",5568.39013671875,5613.9501953125,5566.580078125,5608.5400390625,84653400,5608.5400390625
"282",5638.740234375,5673.02978515625,5627.83984375,5659.259765625,90026000,5659.259765625
"283",5688.68017578125,5714.27978515625,5673.6298828125,5686.02978515625,75598300,5686.02978515625
"284",5703.52978515625,5703.52978515625,5674.43017578125,5691.5400390625,74734600,5691.5400390625
"285",5719.31982421875,5719.31982421875,5647.27978515625,5670.7998046875,80605800,5670.7998046875
"286",5684.93994140625,5692,5656.7998046875,5669.81982421875,85822100,5669.81982421875
"287",5651.669921875,5705.02001953125,5627.990234375,5703.669921875,74872400,5703.669921875
"288",5732.2998046875,5801.3798828125,5722.16015625,5786.25,95598000,5786.25
"289",5796.43017578125,5797.919921875,5768.9599609375,5786.52978515625,69738200,5786.52978515625
"290",5762.009765625,5790.27001953125,5752.85009765625,5765.83984375,89772300,5765.83984375
"291",5757.75,5779.009765625,5720.580078125,5728.330078125,95205800,5728.330078125
"292",5737.18994140625,5784.89990234375,5733.83984375,5773.5498046875,95515600,5773.5498046875
"293",5737.47021484375,5776.64013671875,5703.47998046875,5767.43994140625,83870900,5767.43994140625
"294",5781.240234375,5804.89990234375,5721.919921875,5779.83984375,0,5779.83984375
"295",5769.2099609375,5804.14013671875,5758.2998046875,5797.97998046875,83298700,5797.97998046875
"296",5824.72021484375,5834.35986328125,5783.89013671875,5783.89013671875,99039600,5783.89013671875
"297",5715.68994140625,5768.02978515625,5688.259765625,5703.22021484375,126426700,5703.22021484375
"298",5770.89013671875,5804.35009765625,5765.7998046875,5792.7900390625,83783600,5792.7900390625
"299",5774.6201171875,5835.740234375,5773.52001953125,5809.72998046875,78464500,5809.72998046875
"300",5841.2001953125,5871.43017578125,5788.66015625,5830.06005859375,91437400,5830.06005859375
"301",5800.72998046875,5844.68994140625,5797.669921875,5830.64990234375,96687500,5830.64990234375
"302",5794.47998046875,5837.5498046875,5755.60009765625,5782.64990234375,99553700,5782.64990234375
"303",5822.919921875,5912.5,5799.0498046875,5902.990234375,0,5902.990234375
"304",5903.259765625,5937.81005859375,5895.330078125,5924.97021484375,98009300,5924.97021484375
"305",5915.169921875,5993.6298828125,5912.35009765625,5990.5498046875,84108900,5990.5498046875
"306",6004.16015625,6033.759765625,5995.41015625,6033.759765625,85660900,6033.759765625
"307",6030.6298828125,6046.5498046875,6017.41015625,6046.5498046875,72235700,6046.5498046875
"308",6069.08984375,6089.2001953125,6018.5498046875,6035.97021484375,78751000,6035.97021484375
"309",6050.39990234375,6061.18994140625,6034.759765625,6055.43017578125,846600,6055.43017578125
"310",6048.31005859375,6062.35986328125,6037.25,6054.81982421875,806600,6054.81982421875
"311",6076.2099609375,6082.919921875,6044.31982421875,6062.7900390625,91171900,6062.7900390625
"312",6021.1298828125,6047.64990234375,5983.60986328125,5997.9599609375,212881400,5997.9599609375
"313",5960.85009765625,5987.22998046875,5943.7099609375,5968.47998046875,76067200,5968.47998046875
"314",5943.31005859375,5968.56005859375,5921.830078125,5945.2998046875,75656900,5945.2998046875
"315",5901.64013671875,5948.669921875,5890.5498046875,5947.2900390625,80552800,5947.2900390625
"316",5911.0400390625,5952.41015625,5886,5952.41015625,73423600,5952.41015625
"317",5979.22998046875,6002.9501953125,5962.4599609375,5988.81005859375,80680200,5988.81005859375
"318",5995,6029.58984375,5985.35986328125,6015.509765625,67745900,6015.509765625
"319",6044.5400390625,6095.080078125,6041.39013671875,6088.0400390625,76904000,6088.0400390625
