"","AIR.PA.Open","AIR.PA.High","AIR.PA.Low","AIR.PA.Close","AIR.PA.Volume","AIR.PA.Adjusted"
"445",115.959999084473,116.980003356934,115.019996643066,115.400001525879,974686,107.828308105469
"446",116.5,118.879997253418,116.339996337891,117.23999786377,1577958,109.547569274902
"447",116.800003051758,117.300003051758,113.099998474121,113.360000610352,1789397,105.922149658203
"448",115.199996948242,117.300003051758,114.559997558594,117.300003051758,1856224,109.603637695312
"449",118.160003662109,118.339996337891,114.860000610352,115.099998474121,1891572,107.547981262207
"450",113.019996643066,116.699996948242,111.879997253418,116.580001831055,1638193,108.930877685547
"451",116.559997558594,116.959999084473,113.120002746582,113.660003662109,1545522,106.20246887207
"452",114.360000610352,115.540000915527,113.620002746582,115.080001831055,1344477,107.529296875
"453",114,114.080001831055,111.120002746582,113.419998168945,1592220,105.978210449219
"454",115.059997558594,115.300003051758,113.680000305176,114.199996948242,1465696,106.70703125
"455",114.160003662109,114.480003356934,112.620002746582,113.220001220703,1301126,105.791343688965
"456",112.839996337891,114.26000213623,112.699996948242,113.819999694824,785366,106.35196685791
"457",111.5,113.559997558594,111.26000213623,113.23999786377,1212402,105.810028076172
"458",113.099998474121,113.180000305176,111.279998779297,112.339996337891,1246440,104.96907043457
"459",113,114.220001220703,112,113.360000610352,1286858,105.922149658203
"460",113.519996643066,115.400001525879,113.319999694824,114.900001525879,1541664,107.361106872559
"461",114.26000213623,114.339996337891,112.699996948242,113.300003051758,893006,105.866088867188
"462",113.480003356934,113.599998474121,112.180000305176,112.319999694824,954227,104.950386047363
"463",112.099998474121,112.660003662109,111.040000915527,112.160003662109,892310,104.800888061523
"464",111.120002746582,111.959999084473,110.440002441406,111.379997253418,1074900,104.072059631348
"465",111.639999389648,111.900001525879,109.779998779297,109.779998779297,1301101,102.577041625977
"466",109.819999694824,109.879997253418,107.23999786377,108.080001831055,1766120,100.988578796387
"467",108,110.919998168945,107.160003662109,109.940002441406,1296882,102.726547241211
"468",109.139999389648,110.379997253418,108.599998474121,110,1231120,102.782608032227
"469",112.73999786377,113.559997558594,110.279998779297,112,1848341,104.651382446289
"470",111,112.900001525879,109.879997253418,110.599998474121,1643244,103.343238830566
"471",111.080001831055,111.620002746582,109.139999389648,109.660003662109,1260620,102.464920043945
"472",109.400001525879,111.139999389648,108.620002746582,110.300003051758,1105037,103.062934875488
"473",110.139999389648,110.139999389648,107.76000213623,108,1603078,100.913833618164
"474",108.300003051758,109.800003051758,107.680000305176,109,1135155,101.848220825195
"475",108.23999786377,114.139999389648,107.519996643066,113.900001525879,2457661,106.426719665527
"476",114,115.639999389648,113.680000305176,115.639999389648,1761599,108.052543640137
"477",115.23999786377,117.180000305176,114.839996337891,116.319999694824,1403630,108.687934875488
"478",116.559997558594,117.620002746582,115.379997253418,116.199996948242,871005,108.575805664062
"479",116.199996948242,116.779998779297,113.940002441406,114.699996948242,1022281,107.174224853516
"480",114.220001220703,115.23999786377,112.139999389648,112.139999389648,1431439,104.782196044922
"481",114.379997253418,115.720001220703,113.639999389648,114.040000915527,1330937,106.55753326416
"482",114.800003051758,115.639999389648,113.900001525879,115,1150422,107.454536437988
"483",114.639999389648,115.139999389648,114.059997558594,114.440002441406,1300356,106.931297302246
"484",114.26000213623,114.699996948242,112.599998474121,113.26000213623,1391601,105.828712463379
"485",113.559997558594,113.559997558594,108.839996337891,109.400001525879,2700171,102.221977233887
"486",109.980003356934,110.900001525879,108.519996643066,108.779998779297,1783388,101.642654418945
"487",108.800003051758,111.819999694824,108.319999694824,110.26000213623,1287924,103.025543212891
"488",110.819999694824,111.959999084473,109.180000305176,111.459999084473,1194993,104.146812438965
"489",111.980003356934,112.779998779297,110.699996948242,112.26000213623,935805,104.894317626953
"490",99.5,102.819999694824,95.7300033569336,99.3600006103516,6274958,92.8407211303711
"491",101.160003662109,102.660003662109,98.6900024414062,99.6900024414062,3238653,93.1490783691406
"492",98.1999969482422,101.580001831055,96.8099975585938,98.7200012207031,3828819,92.2427215576172
"493",100.959999084473,102.199996948242,99.1900024414062,101.919998168945,2056790,95.2327499389648
"494",100,102.220001220703,99.7099990844727,101.099998474121,2133720,94.4665603637695
"495",102.959999084473,103.720001220703,98.0199966430664,98.5500030517578,1937280,92.0838775634766
"496",99.5,103.23999786377,99.0999984741211,102.839996337891,2135411,96.0923919677734
"497",104,106.419998168945,103.220001220703,105.879997253418,2179779,98.9329299926758
"498",105.26000213623,108.080001831055,103.620002746582,107.26000213623,2635743,100.222389221191
"499",107.339996337891,107.940002441406,104.940002441406,105.5,1783616,98.5778656005859
"500",104.419998168945,107.080001831055,104.180000305176,105.580001831055,1154919,98.6526107788086
"501",105.599998474121,105.73999786377,102.339996337891,103.080001831055,1667243,96.3166427612305
